title,plot_processed,thumbnail,
the hollow,mystery angkatell invite hercule poirot lunch tease great detective guest stage mock murder beside swimming pool unfortunately victim play scene real blood drip water john christow gasp one final word henrietta confusion gun sink bottom pool poirot enquiry reveal complex web romantic attachment seem everyone drama suspect victim,http://books.google.com/books/content?id=-f1h4e0hl0oC&printsec=frontcover&img=1&zoom=1&source=gbs_api
third girl,perplex girl think might kill someone three single girl share london flat first work secretary second artist third come poirot help disappear convinced murderer rumour revolver blood stain without hard evidence would take poirot tenacity establish whether third girl guilty innocent insane,http://books.google.com/books/content?id=Dbh7nUkG_6cC&printsec=frontcover&img=1&zoom=1&source=gbs_api
the secret of chimneys,superintendent fictitious character young drifter find bargain agree deliver parcel english country house,http://books.google.com/books/content?id=1OluX5g96OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api
the lord of the rings,frodo fictitious character gather ring power mean able rule world need rule ring fall hand hobbit bilbo baggins frodo baggins entrust foil sauron,
the metaphysical club,mass absorb narrative personality social history menand discuss metaphysical club informal group meet cambridge massachusetts talk idea member include oliver wendell holmes william james charles sander peirce,http://books.google.com/books/content?id=C3Gkwi3SfmMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
the illustrated man,,http://books.google.com/books/content?id=kePqlVft1bQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
wilkins' tooth,wynne back limitedrevenge arrange price accord task difficult task undertaken treasure hunt etc seem like marvellous scheme time frank jess set business need money stop frank owe buster knell ten penny father put quick stop errand run try something bad instead offer dreadful thing people dare pin notice wait customer course nothing ever,http://books.google.com/books/content?id=lXUSHqQfOD8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
cut,old callie withdrawn speak anyone include therapist sea pine know guest mind residential treatment facility parent doctor send discover cut story unfolds primarily dramatic monologue gradually reveal family turmoil lead,http://books.google.com/books/content?id=Q140Mlie138C&printsec=frontcover&img=1&zoom=1&source=gbs_api
the lord of the rings,art return characteristic motion complete access artwork create period guide illustrate creative development return king contain image earliest pencil sketch conceptual drawing magnificent painting sculpture digital imagery shape look film contribute artist include john howe alan lee artist inspire peter jackson vision work bring trilogy big screen peter jackson provide afterword discuss importance conceptual art film cover aspect eagerly await finale enormously successful trilogy location costume weaponry creature artist create diverse element explain contribute development,http://books.google.com/books/content?id=oEZ6AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
the lord of the rings,ronald reuel fiction first publish lord ring book people treasure steep unrivalled magic otherworldliness sweeping fantasy touch heart young old alike well million copy many edition sell around world occasional collector edition become prized valuable item publishing epic trilogy release film image character landscape become eagerly sought much look movie base alan lee painting give centenary edition tolkien great work new relevance number,http://books.google.com/books/content?id=LwO-vgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
the fellowship of the ring,ronald reuel tolkien alan frodo fictitious character classic fantasy quest save basis peter jackson academy award film trilogy available young reader edition book trilogy available individually together paperback box,http://books.google.com/books/content?id=K7xSPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
lirael,daughter dangerous necromancer threaten unleash evil lirael prince sameth draw battle save old kingdom reveal true destiny suggest level,http://books.google.com/books/content?id=sDzU8TpKvQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
tales from the perilous realm,ronald reuel tale publish single volume tolkien four novella farmer giles ham leaf niggle smith wootton major roverandom one book poem adventure tom bombadil gather together fully illustrate,http://books.google.com/books/content?id=Wla7NwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
